Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,Net Income,Taxable Income,,,,,,,,,,,,,,,,,,
10,10001,Avalon,71400,3333671000 ,3097160000 ,2994293000 ,,,,,,,,,,,,,,,,,,
10,10002,Bonavista--Burin--Trinity,64220,2442884000 ,2295563000 ,2176714000 ,,,,,,,,,,,,,,,,,,
10,10003,Coast of Bays--Central--Notre Dame,66740,2453971000 ,2293212000 ,2185436000 ,,,,,,,,,,,,,,,,,,
10,10004,Labrador,20830,1168581000 ,1092723000 ,1009531000 ,,,,,,,,,,,,,,,,,,
10,10005,Long Range Mountains,75220,2759306000 ,2575107000 ,2449807000 ,,,,,,,,,,,,,,,,,,
10,10006,St. John's East,66290,3650622000 ,3345620000 ,3260913000 ,,,,,,,,,,,,,,,,,,
10,10007,St. John's South--Mount Pearl,67530,3176066000 ,2935350000 ,2840999000 ,,,,,,,,,,,,,,,,,,
TOTAL,,,432230,18985101000 ,17634735000 ,16917693000 ,,,,,,,,,,,,,,,,,,
11,11001,Cardigan,29290,1168001000 ,1079364000 ,1048956000 ,,,,,,,,,,,,,,,,,,
11,11002,Charlottetown,28480,1123055000 ,1033559000 ,997662000 ,,,,,,,,,,,,,,,,,,
11,11003,Egmont,29510,1043341000 ,971625000 ,933619000 ,,,,,,,,,,,,,,,,,,
11,11004,Malpeque,27260,1092387000 ,1006821000 ,980567000 ,,,,,,,,,,,,,,,,,,
TOTAL,,,114540,4426784000 ,4091369000 ,3960804000 ,,,,,,,,,,,,,,,,,,
12,12001,Cape Breton--Canso,59050,2206047000 ,2048838000 ,1961368000 ,,,,,,,,,,,,,,,,,,
12,12002,Central Nova,58690,2289966000 ,2114482000 ,2037910000 ,,,,,,,,,,,,,,,,,,
12,12003,Cumberland--Colchester,65090,2355837000 ,2185110000 ,2100757000 ,,,,,,,,,,,,,,,,,,
12,12004,Dartmouth--Cole Harbour,73000,3234310000 ,2946913000 ,2881701000 ,,,,,,,,,,,,,,,,,,
12,12005,Halifax,71210,3480190000 ,3198014000 ,3119138000 ,,,,,,,,,,,,,,,,,,
12,12006,Halifax West,71870,3572082000 ,3254860000 ,3196370000 ,,,,,,,,,,,,,,,,,,
12,12007,Kings--Hants,68190,2625884000 ,2422068000 ,2351561000 ,,,,,,,,,,,,,,,,,,
12,12008,Sackville--Preston--Chezzetcook,68630,3135967000 ,2859598000 ,2811326000 ,,,,,,,,,,,,,,,,,,
12,12009,South Shore--St. Margarets,77660,3089749000 ,2846097000 ,2747458000 ,,,,,,,,,,,,,,,,,,
12,12010,Sydney--Victoria,62140,2149063000 ,2000885000 ,1906292000 ,,,,,,,,,,,,,,,,,,
12,12011,West Nova,69140,2366140000 ,2200498000 ,2109514000 ,,,,,,,,,,,,,,,,,,
TOTAL,,,744670,30505235000 ,28077363000 ,27223395000 ,,,,,,,,,,,,,,,,,,
13,13001,Acadie--Bathurst,68140,2338840000 ,2186120000 ,2073346000 ,,,,,,,,,,,,,,,,,,
13,13002,Beauséjour,68490,2697945000 ,2493372000 ,2414425000 ,,,,,,,,,,,,,,,,,,
13,13003,Fredericton,63040,2757048000 ,2505642000 ,2457905000 ,,,,,,,,,,,,,,,,,,
13,13004,Fundy Royal,63510,2711166000 ,2483698000 ,2429359000 ,,,,,,,,,,,,,,,,,,
13,13005,Madawaska--Restigouche,52170,1747286000 ,1622139000 ,1539423000 ,,,,,,,,,,,,,,,,,,
13,13006,Miramichi--Grand Lake,48530,1582635000 ,1477059000 ,1410834000 ,,,,,,,,,,,,,,,,,,
13,13007,Moncton--Riverview--Dieppe,73350,2976955000 ,2732441000 ,2659375000 ,,,,,,,,,,,,,,,,,,
13,13008,New Brunswick Southwest,52640,2093220000 ,1919945000 ,1862728000 ,,,,,,,,,,,,,,,,,,
13,13009,Saint John--Rothesay,63110,2626816000 ,2421745000 ,2347600000 ,,,,,,,,,,,,,,,,,,
13,13010,Tobique--Mactaquac,55410,1970640000 ,1831612000 ,1760434000 ,,,,,,,,,,,,,,,,,,
TOTAL,,,608390,23502551000 ,21673773000 ,20955429000 ,,,,,,,,,,,,,,,,,,
24,24001,Abitibi--Baie-James--Nunavik--Eeyou,62280,2366348000 ,2185192000 ,2033110000 ,,,,,,,,,,,,,,,,,,
24,24002,Abitibi--Témiscamingue,84020,3434705000 ,3173508000 ,3028766000 ,,,,,,,,,,,,,,,,,,
24,24003,Ahuntsic-Cartierville,89800,3521868000 ,3240586000 ,3094759000 ,,,,,,,,,,,,,,,,,,
24,24004,Alfred-Pellan,80210,3523419000 ,3224206000 ,3141164000 ,,,,,,,,,,,,,,,,,,
24,24005,Argenteuil--La Petite-Nation,78350,2890611000 ,2661309000 ,2536887000 ,,,,,,,,,,,,,,,,,,
24,24006,Avignon--La Mitis--Matane--Matapédia,61590,1954516000 ,1813697000 ,1692786000 ,,,,,,,,,,,,,,,,,,
24,24007,Beauce,87380,3177012000 ,2935624000 ,2794220000 ,,,,,,,,,,,,,,,,,,
24,24008,Beauport--Limoilou,78000,2818779000 ,2572215000 ,2441003000 ,,,,,,,,,,,,,,,,,,
24,24009,Bécancour--Nicolet--Saurel,78530,2849922000 ,2606444000 ,2472696000 ,,,,,,,,,,,,,,,,,,
24,24010,Bellechasse--Les Etchemins--Lévis,93430,3739678000 ,3400727000 ,3276020000 ,,,,,,,,,,,,,,,,,,
24,24011,Beloeil--Chambly,92170,4475618000 ,4068772000 ,3975731000 ,,,,,,,,,,,,,,,,,,
24,24012,Berthier--Maskinongé,84610,2921226000 ,2688958000 ,2543341000 ,,,,,,,,,,,,,,,,,,
24,24013,Thérèse-De Blainville,78380,3975113000 ,3623725000 ,3541528000 ,,,,,,,,,,,,,,,,,,
24,24014,Pierre-Boucher--Les Patriotes--Verchères,81200,4375926000 ,3956516000 ,3877144000 ,,,,,,,,,,,,,,,,,,
24,24015,Bourassa,76820,2112415000 ,1975146000 ,1834415000 ,,,,,,,,,,,,,,,,,,
24,24016,Brome--Missisquoi,85040,3445736000 ,3157663000 ,3030514000 ,,,,,,,,,,,,,,,,,,
24,24017,Brossard--Saint-Lambert,85690,4353756000 ,3954789000 ,3852366000 ,,,,,,,,,,,,,,,,,,
24,24018,Rimouski-Neigette--Témiscouata--Les Basques,71540,2593463000 ,2382381000 ,2260496000 ,,,,,,,,,,,,,,,,,,
24,24019,Charlesbourg--Haute-Saint-Charles,85310,3613693000 ,3257354000 ,3181318000 ,,,,,,,,,,,,,,,,,,
24,24020,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,78310,3227072000 ,2909007000 ,2811018000 ,,,,,,,,,,,,,,,,,,
24,24021,Châteauguay--Lacolle,78630,2998960000 ,2763075000 ,2663513000 ,,,,,,,,,,,,,,,,,,
24,24022,Chicoutimi--Le Fjord,67560,2687589000 ,2434383000 ,2345644000 ,,,,,,,,,,,,,,,,,,
24,24023,Compton--Stanstead,83110,3235786000 ,2968066000 ,2855892000 ,,,,,,,,,,,,,,,,,,
24,24024,Dorval--Lachine--LaSalle,88180,3263956000 ,3008057000 ,2875381000 ,,,,,,,,,,,,,,,,,,
24,24025,Drummond,82210,2883994000 ,2669032000 ,2543991000 ,,,,,,,,,,,,,,,,,,
24,24026,Gaspésie--Les Îles-de-la-Madeleine,67420,2192878000 ,2044387000 ,1889881000 ,,,,,,,,,,,,,,,,,,
24,24027,Gatineau,83450,3563486000 ,3244909000 ,3152541000 ,,,,,,,,,,,,,,,,,,
24,24028,Hochelaga,83950,2958108000 ,2728358000 ,2592046000 ,,,,,,,,,,,,,,,,,,
24,24029,Honoré-Mercier,82700,3049927000 ,2814473000 ,2711204000 ,,,,,,,,,,,,,,,,,,
24,24030,Hull--Aylmer,77910,3591514000 ,3253690000 ,3167509000 ,,,,,,,,,,,,,,,,,,
24,24031,Joliette,84730,2953707000 ,2714077000 ,2569942000 ,,,,,,,,,,,,,,,,,,
24,24032,Jonquière,74200,2933112000 ,2651606000 ,2559497000 ,,,,,,,,,,,,,,,,,,
24,24033,La Pointe-de-l'Île,85290,3142876000 ,2887686000 ,2768265000 ,,,,,,,,,,,,,,,,,,
24,24034,La Prairie,85370,4076311000 ,3712060000 ,3633613000 ,,,,,,,,,,,,,,,,,,
24,24035,Lac-Saint-Jean,87190,3096691000 ,2835917000 ,2702492000 ,,,,,,,,,,,,,,,,,,
24,24036,Lac-Saint-Louis,85620,5020573000 ,4571638000 ,4453227000 ,,,,,,,,,,,,,,,,,,
24,24037,LaSalle--Émard--Verdun,85850,2976316000 ,2752851000 ,2627033000 ,,,,,,,,,,,,,,,,,,
24,24038,Laurentides--Labelle,95640,3566322000 ,3275544000 ,3125186000 ,,,,,,,,,,,,,,,,,,
24,24039,Laurier--Sainte-Marie,86680,3512850000 ,3242883000 ,3103159000 ,,,,,,,,,,,,,,,,,,
24,24040,Laval--Les Îles,82830,3500658000 ,3233647000 ,3134165000 ,,,,,,,,,,,,,,,,,,
24,24041,Longueuil--Charles-LeMoyne,85130,2877206000 ,2657485000 ,2545205000 ,,,,,,,,,,,,,,,,,,
24,24042,Lévis--Lotbinière,88810,4007846000 ,3623408000 ,3537953000 ,,,,,,,,,,,,,,,,,,
24,24043,Longueuil--Saint-Hubert,87680,3748590000 ,3420126000 ,3301874000 ,,,,,,,,,,,,,,,,,,
24,24044,Louis-Hébert,86090,4645881000 ,4167160000 ,4075497000 ,,,,,,,,,,,,,,,,,,
24,24045,Louis-Saint-Laurent,93170,4229769000 ,3802924000 ,3727406000 ,,,,,,,,,,,,,,,,,,
24,24046,Manicouagan,75840,3230564000 ,2971103000 ,2849564000 ,,,,,,,,,,,,,,,,,,
24,24047,Mégantic--L'Érable,72910,2391330000 ,2207791000 ,2081409000 ,,,,,,,,,,,,,,,,,,
24,24048,Mirabel,87440,3615946000 ,3319997000 ,3233905000 ,,,,,,,,,,,,,,,,,,
24,24049,Montarville,77290,4212312000 ,3804424000 ,3746209000 ,,,,,,,,,,,,,,,,,,
24,24050,Montcalm,83120,3117516000 ,2873152000 ,2762923000 ,,,,,,,,,,,,,,,,,,
24,24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,80890,2758462000 ,2549151000 ,2419102000 ,,,,,,,,,,,,,,,,,,
24,24052,Mount Royal,79250,4616189000 ,4251787000 ,4087897000 ,,,,,,,,,,,,,,,,,,
24,24053,Notre-Dame-de-Grâce--Westmount,80760,5732696000 ,5267328000 ,5035837000 ,,,,,,,,,,,,,,,,,,
24,24054,Outremont,74540,3644861000 ,3356687000 ,3234989000 ,,,,,,,,,,,,,,,,,,
24,24055,Papineau,85080,2486454000 ,2315539000 ,2175285000 ,,,,,,,,,,,,,,,,,,
24,24056,Pierrefonds--Dollard,85870,3804564000 ,3482245000 ,3382420000 ,,,,,,,,,,,,,,,,,,
24,24057,Pontiac,86630,3965698000 ,3605427000 ,3500225000 ,,,,,,,,,,,,,,,,,,
24,24058,Portneuf--Jacques-Cartier,89060,4153011000 ,3742286000 ,3638475000 ,,,,,,,,,,,,,,,,,,
24,24059,Québec,79150,3213941000 ,2933872000 ,2813370000 ,,,,,,,,,,,,,,,,,,
24,24060,Repentigny,93660,4094508000 ,3713686000 ,3626527000 ,,,,,,,,,,,,,,,,,,
24,24061,Richmond--Arthabaska,86980,3050409000 ,2808396000 ,2667394000 ,,,,,,,,,,,,,,,,,,
24,24062,Rivière-des-Mille-Îles,83250,3697393000 ,3372235000 ,3288191000 ,,,,,,,,,,,,,,,,,,
24,24063,Rivière-du-Nord,88240,3282624000 ,3021369000 ,2901198000 ,,,,,,,,,,,,,,,,,,
24,24064,Rosemont--La Petite-Patrie,86000,3333547000 ,3063101000 ,2942714000 ,,,,,,,,,,,,,,,,,,
24,24065,Marc-Aurèle-Fortin,78490,3532135000 ,3213971000 ,3145759000 ,,,,,,,,,,,,,,,,,,
24,24066,Saint-Hyacinthe--Bagot,81680,2943946000 ,2721051000 ,2593856000 ,,,,,,,,,,,,,,,,,,
24,24067,Saint-Jean,88730,3515654000 ,3234374000 ,3118329000 ,,,,,,,,,,,,,,,,,,
24,24068,Saint-Laurent,75540,3009219000 ,2773242000 ,2652648000 ,,,,,,,,,,,,,,,,,,
24,24069,Saint-Léonard--Saint-Michel,86190,2492425000 ,2328319000 ,2194549000 ,,,,,,,,,,,,,,,,,,
24,24070,Saint-Maurice--Champlain,92890,3143552000 ,2864547000 ,2710991000 ,,,,,,,,,,,,,,,,,,
24,24071,Salaberry--Suroît,92140,3286774000 ,3035367000 ,2894206000 ,,,,,,,,,,,,,,,,,,
24,24072,Shefford,89690,3314666000 ,3050642000 ,2931582000 ,,,,,,,,,,,,,,,,,,
24,24073,Sherbrooke,88490,3176060000 ,2909067000 ,2766758000 ,,,,,,,,,,,,,,,,,,
24,24074,Vaudreuil--Soulanges,90230,4327128000 ,3960880000 ,3876573000 ,,,,,,,,,,,,,,,,,,
24,24075,Terrebonne,85880,3714623000 ,3397967000 ,3315001000 ,,,,,,,,,,,,,,,,,,
24,24076,Trois-Rivières,91340,3401989000 ,3082647000 ,2933960000 ,,,,,,,,,,,,,,,,,,
24,24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,101340,5424385000 ,5013125000 ,4710933000 ,,,,,,,,,,,,,,,,,,
24,24078,Vimy,88690,3149218000 ,2907898000 ,2785438000 ,,,,,,,,,,,,,,,,,,
TOTAL,,,6509340,266919581000 ,244417934000 ,235099615000 ,,,,,,,,,,,,,,,,,,
35,35001,Ajax,87350,3955540000 ,3627938000 ,3550765000 ,,,,,,,,,,,,,,,,,,
35,35002,Algoma--Manitoulin--Kapuskasing,65190,2446494000 ,2262013000 ,2134731000 ,,,,,,,,,,,,,,,,,,
35,35003,Aurora--Oak Ridges--Richmond Hill,87990,4638080000 ,4221138000 ,4127674000 ,,,,,,,,,,,,,,,,,,
35,35004,Barrie--Innisfil,80170,3689138000 ,3398049000 ,3327794000 ,,,,,,,,,,,,,,,,,,
35,35005,Barrie--Springwater--Oro-Medonte,75610,3443227000 ,3153987000 ,3063241000 ,,,,,,,,,,,,,,,,,,
35,35006,Bay of Quinte,86380,3491976000 ,3200819000 ,3067055000 ,,,,,,,,,,,,,,,,,,
35,35007,Beaches--East York,80500,4373594000 ,4009097000 ,3879343000 ,,,,,,,,,,,,,,,,,,
35,35008,Brampton Centre,77790,2744645000 ,2566719000 ,2478895000 ,,,,,,,,,,,,,,,,,,
35,35009,Brampton East,89940,2958811000 ,2754024000 ,2647341000 ,,,,,,,,,,,,,,,,,,
35,35010,Brampton North,89430,3348348000 ,3104120000 ,3015230000 ,,,,,,,,,,,,,,,,,,
35,35011,Brampton South,89950,3185583000 ,2967392000 ,2858916000 ,,,,,,,,,,,,,,,,,,
35,35012,Brampton West,87890,3202681000 ,2983365000 ,2904308000 ,,,,,,,,,,,,,,,,,,
35,35013,Brantford--Brant,100190,4065387000 ,3759357000 ,3607600000 ,,,,,,,,,,,,,,,,,,
35,35014,Bruce--Grey--Owen Sound,85130,3406128000 ,3133118000 ,2992713000 ,,,,,,,,,,,,,,,,,,
35,35015,Burlington,98120,5719884000 ,5221398000 ,5100285000 ,,,,,,,,,,,,,,,,,,
35,35016,Cambridge,88750,3883801000 ,3608466000 ,3499906000 ,,,,,,,,,,,,,,,,,,
35,35017,Chatham-Kent--Leamington,98970,3668240000 ,3428347000 ,3236925000 ,,,,,,,,,,,,,,,,,,
35,35018,Davenport,82560,3181441000 ,2969796000 ,2842103000 ,,,,,,,,,,,,,,,,,,
35,35019,Don Valley East,73560,3363614000 ,3108223000 ,2984932000 ,,,,,,,,,,,,,,,,,,
35,35020,Don Valley North,90780,3802397000 ,3486658000 ,3362479000 ,,,,,,,,,,,,,,,,,,
35,35021,Don Valley West,77930,8178060000 ,7562196000 ,7325786000 ,,,,,,,,,,,,,,,,,,
35,35022,Dufferin--Caledon,95860,5021303000 ,4614507000 ,4513325000 ,,,,,,,,,,,,,,,,,,
35,35023,Durham,95420,4773705000 ,4359025000 ,4285858000 ,,,,,,,,,,,,,,,,,,
35,35024,Eglinton--Lawrence,86920,7004539000 ,6455016000 ,6261769000 ,,,,,,,,,,,,,,,,,,
35,35025,Elgin--Middlesex--London,88250,3802009000 ,3507883000 ,3380297000 ,,,,,,,,,,,,,,,,,,
35,35026,Essex,94430,4803145000 ,4402599000 ,4277596000 ,,,,,,,,,,,,,,,,,,
35,35027,Etobicoke Centre,93260,5515216000 ,5059770000 ,4919143000 ,,,,,,,,,,,,,,,,,,
35,35028,Etobicoke--Lakeshore,97880,5779421000 ,5316085000 ,5159791000 ,,,,,,,,,,,,,,,,,,
35,35029,Etobicoke North,91730,2680762000 ,2521224000 ,2353997000 ,,,,,,,,,,,,,,,,,,
35,35030,Flamborough--Glanbrook,79190,4123691000 ,3770850000 ,3696707000 ,,,,,,,,,,,,,,,,,,
35,35031,Glengarry--Prescott--Russell,88390,4080824000 ,3722200000 ,3598588000 ,,,,,,,,,,,,,,,,,,
35,35032,Guelph,98700,4722406000 ,4335982000 ,4240032000 ,,,,,,,,,,,,,,,,,,
35,35033,Haldimand--Norfolk,86820,3572932000 ,3289650000 ,3164896000 ,,,,,,,,,,,,,,,,,,
35,35034,Haliburton--Kawartha Lakes--Brock,89750,3698420000 ,3395319000 ,3265048000 ,,,,,,,,,,,,,,,,,,
35,35035,Hamilton Centre,75370,2513869000 ,2360747000 ,2162091000 ,,,,,,,,,,,,,,,,,,
35,35036,Hamilton East--Stoney Creek,86070,3356293000 ,3119263000 ,2985851000 ,,,,,,,,,,,,,,,,,,
35,35037,Hamilton Mountain,82760,3165070000 ,2929904000 ,2816650000 ,,,,,,,,,,,,,,,,,,
35,35038,Hamilton West--Ancaster--Dundas,86010,4630669000 ,4208383000 ,4111951000 ,,,,,,,,,,,,,,,,,,
35,35039,Hastings--Lennox and Addington,83370,3300802000 ,3028844000 ,2897176000 ,,,,,,,,,,,,,,,,,,
35,35040,Huron--Bruce,81250,3829448000 ,3511533000 ,3376654000 ,,,,,,,,,,,,,,,,,,
35,35041,Kanata--Carleton,80610,4797595000 ,4300360000 ,4223844000 ,,,,,,,,,,,,,,,,,,
35,35042,Kenora,45930,1688664000 ,1558565000 ,1480527000 ,,,,,,,,,,,,,,,,,,
35,35043,King--Vaughan,95120,5140616000 ,4734372000 ,4618791000 ,,,,,,,,,,,,,,,,,,
35,35044,Kingston and the Islands,88800,4227555000 ,3834769000 ,3710132000 ,,,,,,,,,,,,,,,,,,
35,35045,Kitchener Centre,80690,3265107000 ,3030544000 ,2912679000 ,,,,,,,,,,,,,,,,,,
35,35046,Kitchener--Conestoga,71300,3558577000 ,3263560000 ,3187484000 ,,,,,,,,,,,,,,,,,,
35,35047,Kitchener South--Hespeler,78520,3639014000 ,3359790000 ,3266928000 ,,,,,,,,,,,,,,,,,,
35,35048,Lambton--Kent--Middlesex,80670,3540670000 ,3251450000 ,3111928000 ,,,,,,,,,,,,,,,,,,
35,35049,Lanark--Frontenac--Kingston,78550,3557856000 ,3247360000 ,3146577000 ,,,,,,,,,,,,,,,,,,
35,35050,Leeds--Grenville--Thousand Islands and Rideau Lakes,82330,3597796000 ,3293154000 ,3183156000 ,,,,,,,,,,,,,,,,,,
35,35051,London--Fanshawe,90380,3193411000 ,2975403000 ,2834173000 ,,,,,,,,,,,,,,,,,,
35,35052,London North Centre,93740,4353709000 ,3987330000 ,3843331000 ,,,,,,,,,,,,,,,,,,
35,35053,London West,95830,4677382000 ,4259056000 ,4149577000 ,,,,,,,,,,,,,,,,,,
35,35054,Markham--Stouffville,93810,4834537000 ,4390517000 ,4289640000 ,,,,,,,,,,,,,,,,,,
35,35055,Markham--Thornhill,86250,3343031000 ,3073907000 ,2951869000 ,,,,,,,,,,,,,,,,,,
35,35056,Markham--Unionville,96110,4462701000 ,4053190000 ,3933537000 ,,,,,,,,,,,,,,,,,,
35,35057,Milton,76020,4066499000 ,3729400000 ,3666825000 ,,,,,,,,,,,,,,,,,,
35,35058,Mississauga Centre,100500,3700899000 ,3431889000 ,3317651000 ,,,,,,,,,,,,,,,,,,
35,35059,Mississauga East--Cooksville,95690,3572123000 ,3317302000 ,3195208000 ,,,,,,,,,,,,,,,,,,
35,35060,Mississauga--Erin Mills,94190,4210603000 ,3854416000 ,3765794000 ,,,,,,,,,,,,,,,,,,
